Name,Identity,Type,Sex,Eye Color,Hair Color,Appearances,First Appearance,Studio
Razer,New Earth,Bad,Male,Brown,Black,4,1993,DC
Roger Goldman,New Earth,Bad,Male,Brown,Brown,4,1993,DC
Sanjeet Bhatia,New Earth,Good,Female,Brown,Black,4,1993,DC
Tiffany Evans,Dakotaverse,Good,Female,Brown,Brown,4,1993,DC
Fel Andar,New Earth,Bad,Male,Blue,Black,4,1992,DC
Jocasta,New Earth,Bad,Female,Red,Red,4,1992,DC
Mrs. Gradenko,New Earth,Bad,Female,Blue,Grey,4,1991,DC
Carrie Donahue,New Earth,Good,Female,Hazel,Brown,4,1990,DC
Johanna Constantine,New Earth,Good,Female,Blue,Blond,4,1990,DC
Morax,New Earth,Bad,Male,Black,Brown,4,1990,DC
Shalako,New Earth,Bad,Male,Green,Blond,4,1990,DC
Tsunami II,New Earth,Good,Male,Brown,Black,4,1990,DC
Alexander Burgess,New Earth,Bad,Male,Brown,Red,4,1989,DC
Joseph Potato,New Earth,Good,Male,Blue,White,4,1989,DC
Sarah Moss,New Earth,Good,Female,Brown,Brown,4,1989,DC
Tracker,New Earth,Bad,Male,Black,Brown,4,1989,DC
Ada LaBostrie,New Earth,Good,Female,Brown,Black,4,1988,DC
Carrie Phillips,New Earth,Neutral,Female,Brown,Black,4,1988,DC
Death Mayhew,New Earth,Bad,Male,Brown,Brown,4,1988,DC
Incinderella,New Earth,Bad,Female,Brown,Brown,4,1988,DC
Ixion,New Earth,Bad,Male,Red,Green,4,1988,DC
Keng Quan Chee,New Earth,Good,Female,Brown,Black,4,1988,DC
Mind Games,New Earth,Bad,Male,Blue,Blond,4,1988,DC
Shadrack Hightower,New Earth,Bad,Male,Blue,White,4,1988,DC
Stanislaus Drozdowski,New Earth,Good,Male,Blue,Blond,4,1988,DC
Strobe,New Earth,Bad,Male,Blue,Brown,4,1988,DC
Arnold Flass,New Earth,Bad,Male,Blue,Blond,4,1987,DC
Ashok Desai,New Earth,Bad,Male,Black,Black,4,1987,DC
Godiva II,New Earth,Bad,Female,Red,Black,4,1987,DC
Jefferson Skeevers,New Earth,Bad,Male,Brown,Black,4,1987,DC
Richard Flag," Sr.,New Earth",Good,Male,Brown,Brown,4,1987,DC
Van-L,New Earth,Good,Male,Brown,Brown,4,1987,DC
Wrynn,New Earth,Bad,Male,Blue,Black,4,1987,DC
Anne Pasquale,New Earth,Good,Female,Blue,Black,4,1986,DC
Marlene Simmonds,New Earth,Bad,Female,Blue,Green,4,1986,DC
Richard Perignon,New Earth,Bad,Male,Brown,Brown,4,1986,DC
Amber II,New Earth,Good,Female,Brown,Black,4,1985,DC
Jose Ramirez,New Earth,Good,Male,Brown,Black,4,1984,DC
Lawrence Loman,New Earth,Bad,Male,Black,Black,4,1983,DC
Lord Topaz,New Earth,Good,Male,Yellow,White,4,1983,DC
Lysandra,New Earth,Good,Female,Orange,Red,4,1983,DC
Marcia Long,New Earth,Good,Female,Brown,Brown,4,1983,DC
Jeryll,New Earth,Good,Female,Purple,White,4,1982,DC
Lady Viper,Earth-One,Bad,Female,Red,Blond,4,1982,DC
Michael Beldon,New Earth,Bad,Male,Blue,Brown,4,1982,DC
Kana,Earth-One,Neutral,Male,Brown,Black,4,1981,DC
Alvin Desmond,New Earth,Bad,Male,Green,Red,4,1980,DC
Alexi Kronsky,New Earth,Good,Male,Brown,Black,4,1978,DC
Edward Earhart,New Earth,Bad,Male,Brown,Brown,4,1978,DC
Heggra,New Earth,Bad,Female,Black,Red,4,1972,DC
Heller,New Earth,Good,Female,Blue,Red,4,1969,DC
Delbert Billings,New Earth,Bad,Male,Blue,Brown,4,1966,DC
Nicholas Hunter,New Earth,Good,Male,Blue,Red,4,1966,DC
Silken Spider,New Earth,Bad,Female,Brown,Black,4,1966,DC
Samuel Gordon,New Earth,Good,Male,Blue,Brown,4,1961,DC
James Slade,New Earth,Good,Male,Brown,Black,4,1941,DC
Fernando Suarez,New Earth,Good,Male,Brown,Black,4,1940,DC
Adrasteia,New Earth,Good,Female,Green,Red,3,2011,DC
Aleister Golden,New Earth,Bad,Male,Black,Blond,3,2011,DC
Alexandra Gianopoulos,New Earth,Good,Female,Brown,Black,3,2011,DC
David Zavimbi,New Earth,Good,Male,Brown,Black,3,2011,DC
Galenthias,New Earth,Good,Female,Green,Black,3,2011,DC
Qurina Vint,New Earth,Good,Female,Green,Purple,3,2011,DC
Una Nemo,New Earth,Bad,Female,Green,Black,3,2011,DC
Alton Janus,New Earth,Good,Male,Blue,White,3,2010,DC
Astarte,New Earth,Bad,Female,Blue,Blond,3,2010,DC
Divine,New Earth,Bad,Female,Blue,Black,3,2010,DC
Doll Face,New Earth,Bad,Female,Green,Blond,3,2010,DC
Durvella Cwion,New Earth,Neutral,Female,Blue,Blond,3,2010,DC
Oracle,New Earth,Good,Female,White,Blond,3,2010,DC
Sac,New Earth,Bad,Male,Blue,Black,3,2010,DC
Wolf,New Earth,Bad,Male,Black,Brown,3,2010,DC
Gabrielle Kane,New Earth,Good,Female,Green,Blond,3,2009,DC
Persephone II,New Earth,Good,Female,Blue,White,3,2009,DC
Ral-Dar,New Earth,Bad,Male,Grey,Blond,3,2009,DC
Shuja,New Earth,Good,Male,Brown,Black,3,2009,DC
Adeline Prescott,New Earth,Good,Female,Brown,Brown,3,2008,DC
Fairy Queen,New Earth,Good,Female,Green,Blond,3,2008,DC
Gwendoline Harper,New Earth,Good,Female,Blue,Blond,3,2008,DC
Joshua Walker,New Earth,Bad,Male,Green,White,3,2008,DC
Miss Poltergeist,New Earth,Good,Female,White,Purple,3,2008,DC
Repro,New Earth,Bad,Male,Blue,Blond,3,2008,DC
Sardonyxx,New Earth,Good,Female,Green,Red,3,2008,DC
Acheron,New Earth,Good,Male,Yellow,Black,3,2007,DC
Blitzkrieg,New Earth,Bad,Female,Blue,Blond,3,2007,DC
Jackanapes,New Earth,Bad,Male,Brown,Black,3,2007,DC
Karna,New Earth,Bad,Female,Brown,Black,3,2007,DC
Karsta Wor-Ul,New Earth,Good,Female,Green,Red,3,2007,DC
Chen Nuo,New Earth,Good,Male,Black,Black,3,2006,DC
Eliza Harmon,New Earth,Good,Female,Brown,Brown,3,2006,DC
Goldilocks,New Earth,Bad,Female,Green,Blond,3,2006,DC
Hu Wei,New Earth,Bad,Male,White,White,3,2006,DC
Mabel Martin,New Earth,Neutral,Female,Green,Blond,3,2006,DC
Jacqueline Pemberton,New Earth,Good,Female,Green,Red,3,2005,DC
Todd Martin,New Earth,Bad,Male,Blue,Blond,3,2004,DC
Alexander Petrov,New Earth,Bad,Male,Black,Black,3,2003,DC
Helen Shepherd,New Earth,Bad,Female,Blue,Blond,3,2003,DC
Rajak Darkraven,New Earth,Bad,Male,Brown,Black,3,2003,DC
Xenon,New Earth,Bad,Male,Red,White,3,2003,DC
Hallucinatra,New Earth,Bad,Male,Red,White,3,2002,DC
Snake Girl,New Earth,Good,Female,Blue,Brown,3,2002,DC
Carnivora,New Earth,Bad,Female,White,Purple,3,2001,DC
Rampotatek,New Earth,Neutral,Male,Brown,Blue,3,2001,DC
Theta,New Earth,Bad,Female,Brown,Blond,3,2001,DC
Alcmaeon,New Earth,Neutral,Male,Black,Black,3,2000,DC
Banner,New Earth,Bad,Male,Blue,Blond,3,2000,DC
Katherine Riordan,New Earth,Bad,Female,Green,Red,3,2000,DC
Black Zero,New Earth,Bad,Male,Blue,Black,3,1999,DC
Camilla Malone,New Earth,Good,Female,Black,Black,3,1999,DC
Frederick Fleming,New Earth,Bad,Male,Black,Black,3,1999,DC
Garl Rathbone,New Earth,Good,Male,Violet,Black,3,1999,DC
Skanda,New Earth,Neutral,Male,Brown,Black,3,1999,DC
Thula,New Earth,Good,Female,White,Black,3,1999,DC
Kal-El,DC One Million,Good,Male,Gold,Gold,3,1998,DC
Walter Chase,New Earth,Good,Male,Green,Blond,3,1998,DC
Marlon Corbet,New Earth,Good,Male,Brown,Black,3,1997,DC
Marnie,New Earth,Neutral,Female,Blue,Blond,3,1997,DC
Paula Holt,New Earth,Good,Female,Brown,Brown,3,1997,DC
Professor Bibbowski,New Earth,Good,Male,Grey,Grey,3,1997,DC
Belyllioth,New Earth,Bad,Female,Red,Brown,3,1996,DC
Marcia Hargis,New Earth,Good,Female,Blue,Blond,3,1996,DC
Milos Grapa,New Earth,Bad,Male,Blue,Grey,3,1996,DC
Minerva,New Earth,Bad,Female,Brown,Brown,3,1996,DC
Pinky Butler,New Earth,Good,Male,Brown,Black,3,1996,DC
Bounty,New Earth,Bad,Male,Brown,Black,3,1995,DC
Eryx,New Earth,Neutral,Male,Blue,Purple,3,1995,DC
Katrina Krieger,New Earth,Bad,Female,Blue,Blond,3,1995,DC
Russell Wolf,New Earth,Good,Male,Green,Black,3,1995,DC
Wilde Norton,New Earth,Bad,Male,Blue,Brown,3,1995,DC
Bernard Emil Morlock,New Earth,Bad,Male,Yellow,White,3,1994,DC
Bloodmoney,New Earth,Bad,Male,Yellow,Blond,3,1994,DC
Chrysalis,New Earth,Good,Female,White,Brown,3,1994,DC
Miasma,New Earth,Bad,Female,Green,Blond,3,1994,DC
Payback,New Earth,Bad,Male,Red,Green,3,1994,DC
Scatter,New Earth,Bad,Female,Red,Green,3,1994,DC
Shellshock,New Earth,Bad,Female,Black,Green,3,1994,DC
Silver Dragon,New Earth,Bad,Male,Brown,Black,3,1994,DC
Split,New Earth,Bad,Male,White,Blond,3,1994,DC
Adam," Sector 1055,New Earth",Good,Male,Purple,Purple,3,1993,DC
Blaster,New Earth,Bad,Male,Brown,Black,3,1993,DC
Cokie Walters,New Earth,Good,Female,Blue,Brown,3,1993,DC
Darlene Spritzer,New Earth,Good,Female,Blue,Red,3,1993,DC
Isabelle Modini,New Earth,Good,Female,Brown,Brown,3,1993,DC
Kurt Stack,New Earth,Bad,Male,Green,Red,3,1993,DC
Riot,New Earth,Bad,Female,Brown,Brown,3,1993,DC
Dean Hunter,New Earth,Good,Male,Blue,Blond,3,1992,DC
Natalia Spirin,New Earth,Bad,Female,Blue,Black,3,1991,DC
Shivering Jemmy,New Earth,Bad,Female,Red,Blond,3,1991,DC
Tooley Wilson,New Earth,Good,Male,Brown,Black,3,1991,DC
Alloroc,New Earth,Good,Male,Brown,White,3,1990,DC
Haumond,New Earth,Good,Male,Blue,Black,3,1990,DC
Honsu,New Earth,Bad,Male,Blue,Black,3,1990,DC
Loma,New Earth,Good,Female,Brown,Brown,3,1990,DC
Lorelei,New Earth,Bad,Female,Brown,Brown,3,1990,DC
Prince Kraken,New Earth,Bad,Male,Blue,Black,3,1990,DC
Simon Petrarch,New Earth,Bad,Male,Blue,Black,3,1990,DC
Albert Tyler,New Earth,Good,Male,Blue,White,3,1989,DC
Anahid,New Earth,Good,Female,Brown,Brown,3,1989,DC
Delia Ryan,New Earth,Neutral,Female,Blue,Blond,3,1989,DC
Ernesto Lopez,New Earth,Good,Male,Brown,Brown,3,1989,DC
Lurgo,New Earth,Bad,Male,Black,Black,3,1989,DC
Roger Richter,New Earth,Good,Male,Brown,Brown,3,1989,DC
Ashley Mavis Powell,New Earth,Bad,Female,Brown,Black,3,1988,DC
Eiji Hasegawa,New Earth,Bad,Male,Brown,Black,3,1988,DC
Elizabeth Joyce,New Earth,Neutral,Female,Brown,Red,3,1988,DC
Eric Forrester,New Earth,Bad,Male,Blue,Black,3,1988,DC
Force,New Earth,Bad,Male,Blue,Blond,3,1988,DC
Howard Baxter-Foote,New Earth,Neutral,Male,Blue,Blond,3,1988,DC
Jeannie Kerr,New Earth,Good,Female,Blue,Blond,3,1988,DC
Kevin Mayer,New Earth,Good,Male,Brown,Black,3,1988,DC
Lawrence Eden,New Earth,Bad,Male,Blue,Black,3,1988,DC
Amber,New Earth,Good,Female,Gold,Red,3,1987,DC
Broderick,New Earth,Bad,Male,Blue,Red,3,1987,DC
Donal,New Earth,Good,Male,Blue,Blond,3,1987,DC
Eos,New Earth,Good,Female,Blue,White,3,1987,DC
Fay Gunn,New Earth,Bad,Female,Blue,White,3,1987,DC
Vara,New Earth,Good,Female,Blue,Black,3,1987,DC
Zebra-Man II,New Earth,Bad,Male,Black,Black,3,1987,DC
Blackjack McCullough,New Earth,Bad,Male,Blue,Brown,3,1985,DC
Nacht,New Earth,Bad,Female,Blue,Black,3,1985,DC
Joel Cochin,New Earth,Bad,Male,Brown,Brown,3,1984,DC
Stratos,New Earth,Bad,Male,Blue,Blond,3,1984,DC
Avir,New Earth,Good,Female,Black,White,3,1983,DC
Brin,New Earth,Good,Male,Blue,White,3,1983,DC
Executrix,Earth-One,Bad,Female,Brown,Brown,3,1983,DC
Taren,New Earth,Good,Male,Red,Red,3,1983,DC
Violet Harper,New Earth,Bad,Female,Blue,Blond,3,1983,DC
Renard Traquer,Earth-One,Bad,Male,Blue,Black,3,1982,DC
Tahr,New Earth,Good,Male,Black,White,3,1982,DC
Vanessa Tremont,New Earth,Neutral,Female,Blue,Strawberry Blond,3,1982,DC
Ahura-Mazda,New Earth,Good,Male,Gold,Gold,3,1980,DC
Helen Jordan,New Earth,Good,Female,Blue,Black,3,1978,DC
Liza Warner,New Earth,Good,Female,Blue,Blond,3,1975,DC
Byron Williams,New Earth,Good,Male,Blue,Brown,3,1967,DC
Gilbert Jeffries,New Earth,Good,Male,Blue,Black,3,1967,DC
Philip Folger,New Earth,Good,Male,Blue,Blond,3,1967,DC
Cernunnos,New Earth,Bad,Male,Blue,Black,3,1966,DC
Ding-Dong Daddy,New Earth,Bad,Male,Black,Black,3,1966,DC
Shaggy Man II,New Earth,Bad,Male,Red,Brown,3,1966,DC
Frederick Storm,New Earth,Bad,Male,Black,Black,3,1964,DC
Bulldozer Nichols,New Earth,Good,Male,Blue,Blond,3,1960,DC
Brave Bow,New Earth,Good,Male,Brown,Grey,3,1959,DC
Brane,New Earth,Good,Male,Blue,Black,3,1944,DC
Richard,New Earth,Good,Male,Blue,Black,3,1944,DC
Anton Schott,New Earth,Bad,Male,Brown,Red,2,2011,DC
Bixby Rhodes,New Earth,Bad,Male,Black,Black,2,2011,DC
Brendt Sorensen,New Earth,Bad,Male,Green,Red,2,2011,DC
Enyo,New Earth,Bad,Female,Black,Black,2,2011,DC
Maggie Mxyzptlk,New Earth,Neutral,Female,Brown,Brown,2,2011,DC
Ophelia Day,New Earth,Bad,Female,Green,Red,2,2011,DC
Alera,New Earth,Good,Female,Green,White,2,2010,DC
Benjamin Vitale,New Earth,Bad,Male,Brown,Black,2,2010,DC
Charlotte Blackwood,New Earth,Good,Female,Brown,Brown,2,2010,DC
Evan Gibson,New Earth,Good,Male,Blue,Black,2,2010,DC
Lotta,New Earth,Good,Female,Green,Purple,2,2010,DC
Phil,New Earth,Good,Male,Black,Brown,2,2010,DC
Sebastian Rothschild,New Earth,Bad,Male,Black,Black,2,2010,DC
Catherine Hamilton,New Earth,Neutral,Female,Green,Brown,2,2009,DC
Frederick Abberline,New Earth,Good,Male,Blue,Black,2,2009,DC
Lyle Blanco,New Earth,Bad,Male,Blue,Blond,2,2009,DC
Mur,New Earth,Bad,Male,Brown,Brown,2,2009,DC
Todd Rice,Some Years Later,Good,Male,Brown,Brown,2,2009,DC
Akhlut,New Earth,Bad,Male,Black,Black,2,2008,DC
Empathy,New Earth,Good,Female,Blue,Red,2,2008,DC
Jake Donnelly,New Earth,Neutral,Male,Brown,Black,2,2008,DC
Kane Milohai,New Earth,Good,Male,Brown,Brown,2,2008,DC
Sabine Roth,New Earth,Good,Female,Brown,Grey,2,2008,DC
Bizarro Doomsday,New Earth,Bad,Male,Black,Black,2,2007,DC
Dev-Em,New Earth,Bad,Male,Green,Purple,2,2007,DC
Ken Thurston,New Earth,Good,Male,Brown,Brown,2,2007,DC
Macro,New Earth,Bad,Female,Blue,Red,2,2007,DC
Magda,New Earth,Bad,Female,Brown,Black,2,2007,DC
Mircea,New Earth,Bad,Male,White,Black,2,2007,DC
Trey Thompson,New Earth,Good,Male,Blue,Black,2,2007,DC
Uriah,New Earth,Bad,Male,Black,Black,2,2007,DC
Jon Standing Bear,New Earth,Good,Male,Brown,Black,2,2006,DC
Qanda,New Earth,Good,Female,Green,Orange,2,2006,DC
Robert Castell,New Earth,Neutral,Male,Brown,Black,2,2006,DC
Thormon Tox,New Earth,Good,Male,Blue,Blond,2,2006,DC
All-Beard,New Earth,Bad,Male,Brown,Grey,2,2005,DC
Charity Bleak,New Earth,Neutral,Female,Black,Black,2,2005,DC
Charliehorse,New Earth,Bad,Male,Black,Brown,2,2005,DC
Helen Helligan,New Earth,Good,Female,Brown,Brown,2,2005,DC
Hollywood,New Earth,Good,Female,Green,Red,2,2005,DC
Horigal,New Earth,Bad,Male,Yellow,Black,2,2005,DC
Millions,New Earth,Good,Male,Black,White,2,2005,DC
Shelly Gaynor,New Earth,Good,Female,Blue,Blond,2,2005,DC
Strato,New Earth,Neutral,Male,Black,Grey,2,2005,DC
Submissionary Judah,New Earth,Neutral,Male,Black,Black,2,2005,DC
William Beezer,New Earth,Bad,Male,Brown,Blond,2,2005,DC
Casey Krinsky,New Earth,Bad,Female,Hazel,Blond,2,2004,DC
Henry Kucharski,New Earth,Good,Male,Blue,Blond,2,2004,DC
Wormhole,New Earth,Bad,Male,Blue,Brown,2,2004,DC
Zaladin,New Earth,Bad,Male,White,Black,2,2003,DC
Antiphon,New Earth,Bad,Male,Blue,Blond,2,2002,DC
Madame X,New Earth,Bad,Female,Blue,White,2,2002,DC
Nine of Diamonds I,New Earth,Bad,Female,Brown,Brown,2,2002,DC
Tolteca,New Earth,Bad,Female,Blue,Black,2,2002,DC
General Good,New Earth,Bad,Male,Brown,Brown,2,2001,DC
Kru-El,New Earth,Bad,Male,Brown,Black,2,2001,DC
Matatoa,New Earth,Bad,Male,Black,Blond,2,2001,DC
Matches Malone,New Earth,Bad,Male,Blue,Brown,2,2001,DC
Cachiru,New Earth,Good,Male,Blue,Black,2,2000,DC
Dolores Pratchet,New Earth,Bad,Female,Red,Red,2,2000,DC
Ebikar Hrui,New Earth,Good,Male,Yellow,Green,2,2000,DC
Acolyte,New Earth,Bad,Male,Red,Blue,2,1999,DC
Anya Savenlovich,New Earth,Good,Female,Green,Red,2,1999,DC
Bette Noir,New Earth,Bad,Female,Grey,Black,2,1999,DC
Dante,New Earth,Bad,Male,Red,Brown,2,1999,DC
Dolmen,New Earth,Bad,Male,Brown,Brown,2,1999,DC
Ebenezer Biggs,New Earth,Bad,Male,Brown,Blond,2,1999,DC
Hammeroon,New Earth,Good,Male,Brown,Brown,2,1999,DC
Hanuman,New Earth,Neutral,Male,Brown,Brown,2,1999,DC
Lucia Viti,New Earth,Bad,Female,Blue,Brown,2,1999,DC
Packrat,New Earth,Bad,Male,Green,Brown,2,1999,DC
Wardell Washington,New Earth,Bad,Male,Brown,Black,2,1999,DC
Pallas,New Earth,Good,Female,Brown,Black,2,1998,DC
Sister Sunlight,New Earth,Good,Female,Blue,Blond,2,1998,DC
Bernell Jones,New Earth,Good,Male,Brown,Brown,2,1997,DC
Cynthia Brand,New Earth,Bad,Female,Green,Red,2,1997,DC
Marlon Dall,New Earth,Bad,Male,Brown,Brown,2,1997,DC
Orunmilla,New Earth,Neutral,Male,Brown,Black,2,1997,DC
Rhombus,New Earth,Bad,Male,Black,White,2,1997,DC
Bang Bang,New Earth,Bad,Female,Black,Black,2,1996,DC
Death-Doll,New Earth,Bad,Female,Blue,Blond,2,1996,DC
Eva Green,New Earth,Bad,Female,Blue,Blond,2,1996,DC
Helen Belcanto,New Earth,Bad,Female,Brown,Black,2,1996,DC
Holly Green,New Earth,Bad,Female,Blue,Blond,2,1996,DC
Patty Patty,New Earth,Bad,Female,Black,Blond,2,1996,DC
Warhammer,New Earth,Good,Male,Blue,Blond,2,1996,DC
Fauna Faust,New Earth,Bad,Female,Black,White,2,1995,DC
George Tweedle,New Earth,Bad,Male,Yellow,Black,2,1995,DC
James Craddock II,New Earth,Neutral,Male,Blue,White,2,1995,DC
Techno,New Earth,Bad,Male,Brown,Black,2,1995,DC
Equinox,New Earth,Good,Male,Blue,Blond,2,1994,DC
Hardsell,New Earth,Bad,Male,Brown,Black,2,1994,DC
Unclean,New Earth,Bad,Female,Brown,Brown,2,1994,DC
Zephyr,New Earth,Bad,Female,Green,Red,2,1994,DC
Colin Brandywine,New Earth,Good,Male,White,Black,2,1993,DC
Immortal,New Earth,Bad,Male,Blue,Blond,2,1993,DC
White Spider,New Earth,Bad,Male,Red,White,2,1993,DC
Headhunter I,New Earth,Bad,Male,Blue,White,2,1992,DC
Horten Spence,New Earth,Neutral,Male,Brown,Black,2,1992,DC
Iris Phelios,New Earth,Bad,Female,Blue,Black,2,1992,DC
Balder,New Earth,Good,Male,Blue,Blond,2,1991,DC
Miliza,New Earth,Bad,Female,Brown,Black,2,1991,DC
Roscoe Barrow,New Earth,Bad,Male,Brown,Black,2,1991,DC
Albart,New Earth,Neutral,Male,Brown,White,2,1990,DC
Crimesmith,New Earth,Bad,Female,Brown,Black,2,1990,DC
Curtis Base,New Earth,Bad,Male,Blue,Green,2,1990,DC
Gulacia,New Earth,Neutral,Female,Hazel,Brown,2,1990,DC
Illya,New Earth,Good,Female,Green,Red,2,1990,DC
Kathryn George,New Earth,Good,Female,Blue,Black,2,1990,DC
Marleah,New Earth,Bad,Female,Grey,Brown,2,1990,DC
Notional Man,New Earth,Bad,Male,White,White,2,1990,DC
Rafael Santini,New Earth,Bad,Male,Blue,Black,2,1990,DC
Steven Sharpe V,New Earth,Bad,Male,Brown,Brown,2,1990,DC
Trevis,New Earth,Good,Male,Brown,Brown,2,1990,DC
Viro,New Earth,Good,Male,Brown,Grey,2,1990,DC
Batiri,New Earth,Good,Female,Brown,Brown,2,1989,DC
Dana Rubikskova,New Earth,Good,Female,Green,Brown,2,1989,DC
Esteban Sanchez,New Earth,Good,Male,Brown,Black,2,1989,DC
Joshua Barbazon,New Earth,Good,Male,Blue,Blond,2,1989,DC
Kadesha Banu,New Earth,Good,Female,Brown,Brown,2,1989,DC
Marie Saloppe,New Earth,Good,Female,Brown,Strawberry Blond,2,1989,DC
Kent Thurston,New Earth,Good,Male,Black,Blond,2,1988,DC
Lawrence Gonzalez,New Earth,Good,Male,Brown,Black,2,1988,DC
Matvei Rodor,New Earth,Bad,Male,Blue,Red,2,1988,DC
Sen-M,New Earth,Good,Male,Black,Black,2,1988,DC
Slats Mehlville,New Earth,Good,Male,Green,Red,2,1988,DC
Sweryn Kania,New Earth,Good,Male,Blue,Red,2,1988,DC
Timothy Simms,New Earth,Good,Male,Blue,Black,2,1988,DC
Eyra-L,New Earth,Good,Female,Green,Black,2,1987,DC
Johnny Vitti,New Earth,Bad,Male,Blue,Brown,2,1987,DC
Kan-Z,New Earth,Neutral,Male,Blue,Blond,2,1987,DC
Ran-L,New Earth,Good,Male,Brown,White,2,1987,DC
Spaulding,New Earth,Bad,Male,Black,Black,2,1987,DC
Wizened Sage,New Earth,Neutral,Male,Brown,Black,2,1987,DC
Caitiff,New Earth,Neutral,Male,White,Brown,2,1986,DC
Nelson Mandutu,New Earth,Good,Male,Black,Black,2,1986,DC
Mustapha Maksai,New Earth,Bad,Male,Brown,Black,2,1985,DC
Prince Ruby,New Earth,Good,Male,Red,Red,2,1985,DC
Sturges Hellstrom,Earth-One,Bad,Male,Blue,Brown,2,1984,DC
Wrath,Earth-One,Bad,Male,Blue,Black,2,1984,DC
Majistra,New Earth,Bad,Female,Gold,Black,2,1983,DC
Bison-Black-As-Midnight-Sky,New Earth,Bad,Male,Brown,White,2,1982,DC
David Rennington,New Earth,Bad,Male,Blue,Black,2,1982,DC
Feathered Serpent,Earth-Two,Bad,Male,Brown,Blond,2,1982,DC
Quarzz Teranh,New Earth,Good,Male,Red,Brown,2,1982,DC
Flamesplasher,New Earth,Bad,Male,Black,Black,2,1977,DC
Clifton Lacey,New Earth,Bad,Male,Blue,Black,2,1976,DC
Harris Blaine,New Earth,Good,Male,Brown,Black,2,1972,DC
Tempter,New Earth,Bad,Male,Black,Black,2,1972,DC
Sheila Dover,New Earth,Good,Female,Blue,Blond,2,1966,DC
Kajz Dox,Pre-Zero Hour,Bad,Male,Green,Blond,2,1965,DC
Midas,New Earth,Bad,Male,Yellow,Gold,2,1965,DC
Don Caballero,New Earth,Good,Male,Brown,Black,2,1951,DC
Loral,New Earth,Good,Female,Black,Black,2,1944,DC
Adellca,New Earth,Good,Female,Black,Black,1,2011,DC
Artois,New Earth,Good,Male,Yellow,Blond,1,2011,DC
Blinder,New Earth,Bad,Male,Brown,Black,1,2011,DC
Ethan Kramer,New Earth,Good,Male,Blue,Red,1,2011,DC
Jennifer Myers,New Earth,Neutral,Female,Blue,Blond,1,2011,DC
Krypto,"Clone,New Earth",Good,Male,Blue,White,1,2011,DC
Lattea,New Earth,Good,Female,Brown,Black,1,2011,DC
Naomi Lord,New Earth,Good,Female,Brown,Brown,1,2011,DC
Norman Rotrig,New Earth,Bad,Male,Brown,Red,1,2011,DC
Southside,New Earth,Bad,Male,Blue,Blue,1,2011,DC
Theodoric,New Earth,Good,Male,Black,Brown,1,2011,DC
Vegar,New Earth,Good,Male,White,Blue,1,2011,DC
Altman,New Earth,Bad,Male,Brown,Brown,1,2010,DC
Bogeyman,New Earth,Bad,Male,Red,White,1,2010,DC
Brigadoom,New Earth,Bad,Male,Blue,Red,1,2010,DC
Byrna Brilyant,New Earth,Bad,Female,Blue,Black,1,2010,DC
Dana Tan,New Earth,Good,Female,Black,Black,1,2010,DC
Jack of Clubs IV,New Earth,Bad,Male,Brown,Black,1,2010,DC
Mareena,New Earth,Good,Female,Blue,Green,1,2010,DC
Maxine Gibson,New Earth,Good,Female,Black,Purple,1,2010,DC
Micron,New Earth,Good,Male,Brown,Black,1,2010,DC
Mind Czar,New Earth,Bad,Male,Brown,Black,1,2010,DC
Mister Justice,New Earth,Good,Male,White,Black,1,2010,DC
Nicholas Quinzel,New Earth,Neutral,Male,Blue,Brown,1,2010,DC
Olivia Reynolds II,New Earth,Bad,Female,Blue,Brown,1,2010,DC
Queen of Hearts V,New Earth,Bad,Female,Green,Red,1,2010,DC
Quetzlotl,New Earth,Good,Male,Yellow,Blond,1,2010,DC
Reb,New Earth,Bad,Male,Blue,Blond,1,2010,DC
Vivienne,New Earth,Good,Female,Blue,Black,1,2010,DC
Walter Steele,New Earth,Neutral,Male,Blue,Blond,1,2010,DC
Batman Jones,New Earth,Good,Male,Brown,Black,1,2009,DC
Dax-Am,New Earth,Neutral,Male,Black,Blond,1,2009,DC
Diane Dorst,New Earth,Neutral,Female,Blue,Blond,1,2009,DC
Imecsub,New Earth,Bad,Male,Yellow,Red,1,2009,DC
La Sangre,New Earth,Good,Female,Red,Red,1,2009,DC
Lightning Bug,New Earth,Bad,Male,Brown,Brown,1,2009,DC
Norman McCay,New Earth,Good,Male,Blue,Grey,1,2009,DC
Six of Spades II,New Earth,Bad,Female,Blue,Black,1,2009,DC
William von Hammer,New Earth,Good,Male,Blue,Blond,1,2009,DC
Clot,New Earth,Bad,Male,Black,Green,1,2008,DC
Falseface,New Earth,Bad,Female,Blue,Brown,1,2008,DC
Gluttony II,New Earth,Bad,Male,Red,Black,1,2008,DC
Jack,New Earth,Bad,Male,Red,Black,1,2008,DC
James,New Earth,Bad,Male,Red,Black,1,2008,DC
Dale Smith,New Earth,Bad,Male,Brown,Brown,1,2007,DC
George Calderon,New Earth,Neutral,Male,Brown,Brown,1,2007,DC
Jackson Jones,New Earth,Bad,Male,Yellow,Brown,1,2007,DC
Khyrana,New Earth,Bad,Female,Blue,Blond,1,2007,DC
Maxi-Man II,New Earth,Good,Male,Green,Blond,1,2007,DC
Barnabus,New Earth,Good,Male,Black,Brown,1,2006,DC
Big Thunder,New Earth,Good,Male,Black,Black,1,2006,DC
